,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
31522,7316675898,29990,2016-01-01,chevrolet,colorado extended cab,good,6,gas,17302.0,clean,other,4wd,pickup,mw
31523,7316133782,32590,2017-01-01,jeep,wrangler unlimited sport,good,6,gas,34703.0,clean,other,4wd,other,mw
31524,7316128530,35990,2015-01-01,ford,mustang gt premium coupe 2d,good,8,gas,4899.0,clean,other,rwd,coupe,mw
31525,7316128505,29990,2017-01-01,jeep,wrangler sport suv 2d,good,6,gas,22947.0,clean,other,4wd,other,mw
31526,7315920737,4000,2003-01-01,nissan,xterra,good,6,gas,161300.0,clean,automatic,4wd,SUV,mw
31527,7315734333,32990,2018-01-01,ram,1500 quad cab harvest pickup,good,6,gas,29979.0,clean,other,4wd,pickup,mw
31528,7315276075,31990,2017-01-01,gmc,sierra 1500 double cab,good,6,gas,31496.0,clean,automatic,4wd,pickup,mw
31529,7315243979,39900,2020-01-01,kia,telluride,like new,6,gas,22949.0,clean,automatic,4wd,SUV,mw
31530,7314614246,36990,2019-01-01,chevrolet,silverado 1500 ld,good,8,gas,14508.0,clean,other,4wd,pickup,mw
31531,7314614192,35990,2020-01-01,dodge,challenger r/t coupe 2d,good,8,gas,1548.0,clean,other,rwd,coupe,mw
31532,7313845917,28590,2010-01-01,chevrolet,camaro ss coupe 2d,good,8,gas,16903.0,clean,other,rwd,coupe,mw
31533,7313846107,29990,2018-01-01,chevrolet,colorado crew cab work,good,6,gas,11401.0,clean,other,4wd,pickup,mw
31534,7313386115,26900,2012-01-01,ford,f-350 4wd drw 1owner rust free tx truck,excellent,8,diesel,181046.0,clean,automatic,4wd,truck,mw
31535,7313386082,23900,2016-01-01,ford,f-250 4wd one owner very clean truck,excellent,8,gas,163677.0,clean,automatic,4wd,truck,mw
31536,7313313949,37990,2016-01-01,toyota,tundra double cab sr,good,8,gas,22870.0,clean,other,4wd,pickup,mw
31537,7313177607,3500,2007-01-01,ford,f150 xl,fair,6,gas,164200.0,clean,automatic,rwd,pickup,mw
31538,7312780624,29990,2014-01-01,chevrolet,silverado 1500 double,good,8,gas,26129.0,clean,other,4wd,pickup,mw
31539,7312780572,32990,2018-01-01,ford,mustang gt coupe 2d,good,8,gas,27726.0,clean,other,rwd,coupe,mw
31540,7312774886,32990,2016-01-01,jeep,wrangler rubicon sport,good,6,gas,42344.0,clean,other,4wd,other,mw
