,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
18175,7316939813,15500,2004-01-01,chevrolet,silverado 3500,excellent,8,gas,120000.0,clean,automatic,4wd,truck,ne
18176,7316926951,2500,2005-01-01,ford,focus,good,4,gas,91998.0,clean,automatic,fwd,sedan,ne
18177,7316925089,5500,2011-01-01,chrysler,town and country,good,6,gas,140299.0,clean,automatic,fwd,mini-van,ne
18178,7316924572,14999,2015-01-01,lincoln,mkc,excellent,6,gas,85200.0,clean,automatic,4wd,SUV,ne
18179,7316863429,6500,2007-01-01,chevrolet,malibu maxx ss,excellent,6,gas,100000.0,clean,automatic,fwd,hatchback,ne
18180,7316766751,17800,2017-01-01,volkswagen,gti,excellent,4,gas,56000.0,clean,manual,fwd,hatchback,ne
18181,7316713399,6495,2006-01-01,ford,explorer eddie bauer 4x4,new,8,gas,167000.0,clean,automatic,4wd,SUV,ne
18182,7316711227,2995,2003-01-01,saturn,ion,excellent,4,gas,146000.0,clean,automatic,fwd,sedan,ne
18183,7316655251,29990,2016-01-01,chevrolet,colorado extended cab,good,6,gas,17302.0,clean,other,4wd,pickup,ne
18184,7316648891,7999,2011-01-01,subaru,outback,excellent,4,gas,163118.0,clean,automatic,4wd,wagon,ne
18185,7316648622,7999,2011-01-01,subaru,outback,excellent,4,gas,163118.0,clean,automatic,4wd,wagon,ne
18186,7316461163,2800,2002-01-01,ram,2500,good,8,gas,124000.0,clean,automatic,4wd,pickup,ne
18187,7316417338,12695,2015-01-01,honda,civic ex sedan,excellent,4,gas,75000.0,clean,automatic,fwd,sedan,ne
18188,7316356120,5900,2008-01-01,chevrolet,trailblazer lt,good,6,gas,89000.0,clean,automatic,4wd,SUV,ne
18189,7316261723,17000,2015-01-01,bmw,335i xdrive,like new,6,gas,87000.0,clean,automatic,4wd,sedan,ne
18190,7316249197,5995,2009-01-01,subaru,outback sport,new,4,gas,140000.0,clean,automatic,fwd,hatchback,ne
18191,7316236079,2000,2006-01-01,pontiac,vibe,fair,4,gas,184000.0,clean,automatic,fwd,hatchback,ne
18192,7316171015,33990,2019-01-01,jeep,wrangler sport suv 2d,good,6,gas,7359.0,clean,other,4wd,other,ne
18193,7316154461,5000,2003-01-01,ford,f-150 xlt 4x4,good,8,gas,130000.0,clean,automatic,4wd,truck,ne
18194,7315932304,12000,2008-01-01,toyota,tundra sr5,good,8,gas,181000.0,clean,automatic,rwd,pickup,ne
18195,7315914891,9000,2014-01-01,mazda,3,excellent,4,gas,97700.0,clean,manual,fwd,sedan,ne
18196,7315781596,2699,2010-01-01,hyundai,sonata,excellent,4,gas,165000.0,clean,automatic,fwd,sedan,ne
18197,7315610552,2900,2001-01-01,honda,accord,good,4,gas,180000.0,clean,manual,fwd,sedan,ne
18198,7315411690,5495,2010-01-01,honda,civic,new,4,gas,157000.0,clean,automatic,fwd,sedan,ne
18199,7315348380,37990,2016-01-01,chevrolet,camaro ss coupe 2d,good,8,gas,9704.0,clean,other,rwd,coupe,ne
18200,7315348682,21500,2008-01-01,ford,f-450 super duty,excellent,8,diesel,71000.0,clean,automatic,rwd,truck,ne
18201,7315342587,34590,2017-01-01,toyota,tacoma access cab trd,good,6,gas,20097.0,clean,other,4wd,pickup,ne
18202,7315342383,25990,2013-01-01,mercedes-benz,e-class e 550,good,8,gas,42045.0,clean,automatic,rwd,coupe,ne
18203,7315268392,2995,2003-01-01,saturn,ion,excellent,4,gas,146000.0,clean,automatic,fwd,sedan,ne
18204,7315257663,4200,2008-01-01,pontiac,g6,excellent,4,gas,130000.0,clean,automatic,fwd,sedan,ne
18205,7315249274,4300,2009-01-01,mazda,6 s grand touring,good,6,gas,198000.0,clean,automatic,fwd,sedan,ne
18206,7315218639,8950,2014-01-01,subaru,xv crosstrek premium 4wd,excellent,4,gas,159672.0,clean,automatic,4wd,SUV,ne
18207,7315209466,6300,2010-01-01,ford,escape,excellent,4,gas,100000.0,clean,automatic,4wd,SUV,ne
18208,7315151900,6950,2012-01-01,volkswagen,tdi jetta sport wg,excellent,5,gas,191037.0,clean,automatic,fwd,wagon,ne
18209,7315141982,5950,2006-01-01,audi,a4 1.8t convertible 2d,excellent,4,gas,158067.0,clean,automatic,fwd,convertible,ne
18210,7315139430,9850,2011-01-01,subaru,outback 3.6r ltd h6,like new,6,gas,132860.0,clean,automatic,4wd,SUV,ne
18211,7315121890,8950,2007-01-01,bmw,328xi awd 4wd,like new,6,gas,77432.0,clean,automatic,4wd,sedan,ne
18212,7315028563,6300,2007-01-01,ford,explorer,good,8,gas,109000.0,clean,automatic,4wd,SUV,ne
18213,7314935794,15500,2003-01-01,chevrolet,silverado 3500,excellent,8,gas,120000.0,clean,automatic,4wd,truck,ne
18214,7314933570,6799,2007-01-01,mercedes-benz,benz r350,excellent,6,gas,127549.0,clean,automatic,4wd,SUV,ne
18215,7314877679,15900,2014-01-01,ram,1500,excellent,8,gas,126000.0,clean,automatic,rwd,truck,ne
18216,7314829408,38590,2011-01-01,chevrolet,corvette grand sport,good,8,gas,30237.0,clean,other,rwd,other,ne
18217,7314764891,4200,2003-01-01,honda,cr-v - ex,good,4,gas,199000.0,clean,automatic,4wd,SUV,ne
18218,7314738884,6500,2007-01-01,chevrolet,malibu maxx ss,excellent,6,gas,100000.0,clean,automatic,fwd,hatchback,ne
18219,7314712794,3900,2011-01-01,hyundai,sonata,excellent,4,gas,175000.0,clean,automatic,fwd,sedan,ne
18220,7314638047,31590,2014-01-01,ford,f150 supercrew cab fx4,good,8,other,54152.0,clean,other,4wd,pickup,ne
18221,7314638084,29990,2012-01-01,toyota,tacoma double cab pickup,good,6,gas,43182.0,clean,other,4wd,pickup,ne
18222,7314552057,56000,2012-01-01,ford,f550 4x4 crew cab,like new,8,diesel,10600.0,clean,automatic,4wd,pickup,ne
18223,7314525928,2800,2006-01-01,hyundai,tiburon gs,good,4,gas,113000.0,clean,manual,fwd,coupe,ne
