,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
0,7316356412,15000,2013-01-01,ford,f-150 xlt,excellent,6,gas,128000.0,clean,automatic,rwd,truck,south
1,7316343444,27990,2012-01-01,gmc,sierra 2500 hd extended cab,good,8,gas,68696.0,clean,other,4wd,pickup,south
2,7316304717,34590,2016-01-01,chevrolet,silverado 1500 double,good,6,gas,29499.0,clean,other,4wd,pickup,south
3,7316285779,35000,2019-01-01,toyota,tacoma,excellent,6,gas,43000.0,clean,automatic,4wd,truck,south
4,7316257769,29990,2016-01-01,chevrolet,colorado extended cab,good,6,gas,17302.0,clean,other,4wd,pickup,south
5,7316133914,38590,2011-01-01,chevrolet,corvette grand sport,good,8,gas,30237.0,clean,other,rwd,other,south
6,7315816316,32990,2017-01-01,jeep,wrangler unlimited sport,good,6,gas,30041.0,clean,other,4wd,other,south
7,7315379459,37990,2016-01-01,chevrolet,camaro ss coupe 2d,good,8,gas,9704.0,clean,other,rwd,coupe,south
8,7315270785,27990,2018-01-01,nissan,frontier crew cab pro-4x,good,6,gas,37332.0,clean,other,4wd,pickup,south
9,7314560853,19900,2004-01-01,ford,f250 super duty,good,8,diesel,88000.0,clean,automatic,4wd,pickup,south
10,7313406529,14000,2012-01-01,honda,odyssey,excellent,6,gas,95000.0,clean,automatic,fwd,mini-van,south
11,7313319521,34990,2018-01-01,ford,mustang gt premium,good,8,gas,18650.0,clean,other,rwd,other,south
12,7312847466,22500,2001-01-01,ford,f450,good,8,diesel,144700.0,clean,manual,rwd,truck,south
13,7312799035,31990,2013-01-01,toyota,tundra double cab pickup,good,8,gas,55068.0,clean,other,4wd,pickup,south
14,7312754093,29990,2014-01-01,chevrolet,silverado 1500 double,good,8,gas,26129.0,clean,other,4wd,pickup,south
15,7312313815,33990,2017-01-01,jeep,wrangler unlimited sahara,good,6,other,34152.0,clean,other,4wd,SUV,south
16,7312144944,15000,2017-01-01,dodge,charger rt 4dr sedan,excellent,8,gas,90000.0,rebuilt,automatic,rwd,sedan,south
17,7311818189,29590,2017-01-01,ford,expedition xlt sport,good,6,gas,70760.0,clean,other,4wd,SUV,south
18,7311351407,33990,2020-01-01,jeep,wrangler sport suv 2d,good,6,gas,9859.0,clean,other,4wd,other,south
19,7311327726,29990,2012-01-01,toyota,tacoma double cab pickup,good,6,gas,43182.0,clean,other,4wd,pickup,south
20,7310644616,3000,2004-01-01,chrysler,town & country,good,6,gas,176144.0,clean,automatic,fwd,mini-van,south
21,7308779719,33990,2017-01-01,ram,1500 crew cab tradesman,good,8,gas,17033.0,clean,other,4wd,pickup,south
22,7308779686,36590,2019-01-01,gmc,sierra 1500 limited double,good,8,gas,14222.0,clean,other,4wd,pickup,south
23,7308730136,40590,2019-01-01,ford,f250 super duty regular cab,good,8,other,9313.0,clean,other,4wd,pickup,south
24,7308365829,33990,2018-01-01,jeep,wrangler unlimited willys,good,6,gas,34636.0,clean,other,4wd,other,south
25,7308217002,38990,2017-01-01,jeep,wrangler unlimited rubicon,good,6,gas,20676.0,clean,other,4wd,other,south
26,7308216849,39590,2018-01-01,jeep,wrangler unlimited all new,good,6,gas,21893.0,clean,other,4wd,SUV,south
27,7307730503,9500,2003-01-01,chrysler,town & country,excellent,6,gas,30376.0,clean,automatic,fwd,mini-van,south
28,7307218858,28590,2018-01-01,gmc,acadia sle-2 sport utility,good,6,gas,20736.0,clean,other,fwd,SUV,south
29,7307164193,28990,2017-01-01,gmc,acadia slt-1 sport utility,good,6,gas,18041.0,clean,other,fwd,SUV,south
30,7306259907,6000,2007-01-01,mercedes-benz,e320 cdi,good,6,diesel,124000.0,clean,automatic,rwd,sedan,south
31,7305666455,38990,2020-01-01,infiniti,qx60 luxe sport utility,good,6,gas,5279.0,clean,other,fwd,other,south
32,7304685581,32990,2019-01-01,jeep,wrangler sport suv 2d,good,6,other,1423.0,clean,other,4wd,SUV,south
33,7304685502,27590,2012-01-01,jeep,wrangler unlimited sport,good,6,gas,52172.0,clean,other,4wd,SUV,south
34,7304158673,33590,2017-01-01,jeep,wrangler unlimited sport,good,6,gas,37919.0,clean,other,4wd,SUV,south
35,7304134738,31590,2017-01-01,jeep,wrangler unlimited sport,good,6,gas,35391.0,clean,other,4wd,SUV,south
36,7304111898,30990,2017-01-01,jeep,wrangler unlimited sport,good,6,gas,43039.0,clean,other,4wd,SUV,south
37,7303661350,20590,2018-01-01,chrysler,300 limited sedan 4d,good,6,gas,71021.0,clean,other,rwd,sedan,south
38,7303236380,26990,2018-01-01,gmc,acadia sle-2 sport utility,good,6,gas,26514.0,clean,other,fwd,SUV,south
39,7316878036,21950,2012-01-01,toyota,tacoma 4x4,excellent,4,gas,143060.0,clean,manual,4wd,truck,south
40,7316874816,13950,2011-01-01,toyota,tacoma,good,4,gas,151060.0,clean,automatic,rwd,truck,south
41,7316872263,12950,2005-01-01,bmw,z4,excellent,6,gas,69586.0,clean,automatic,rwd,convertible,south
42,7316871664,18950,2010-01-01,ford,f150 lariat supercrew 4x4,good,8,gas,151403.0,clean,automatic,4wd,pickup,south
43,7316871204,6995,2011-01-01,volkswagen,jetta sel,excellent,5,gas,172752.0,clean,automatic,fwd,sedan,south
44,7316870942,12500,2008-01-01,ford,ranger xlt,excellent,6,gas,141345.0,clean,automatic,rwd,truck,south
45,7316870516,16950,2007-01-01,toyota,tacoma double cab,good,6,gas,156792.0,clean,automatic,rwd,truck,south
46,7316870143,22950,2014-01-01,ford,f150 supercrew cab xlt,excellent,8,gas,166380.0,clean,automatic,4wd,truck,south
47,7316869910,12950,2011-01-01,honda,crv ex,excellent,4,gas,87994.0,clean,automatic,fwd,SUV,south
48,7316869708,12950,2007-01-01,mazda,mx-5 miata touring,excellent,4,gas,90610.0,clean,automatic,rwd,convertible,south
49,7316869215,13950,2011-01-01,mazda,mx-5 miata grand touring,excellent,4,gas,138235.0,clean,automatic,rwd,convertible,south
50,7316868894,19950,2009-01-01,porsche,boxster,excellent,6,gas,80190.0,clean,automatic,rwd,convertible,south
51,7316868562,13950,2008-01-01,mazda,miata,excellent,4,gas,86650.0,clean,manual,rwd,convertible,south
52,7316868220,10950,2009-01-01,lexus,rx350,excellent,6,gas,191955.0,clean,automatic,4wd,SUV,south
53,7316867506,13950,2006-01-01,lexus,gx470,good,8,gas,178790.0,clean,automatic,4wd,SUV,south
54,7316852517,21250,2002-01-01,ford,thunderbird,new,8,gas,15996.0,clean,automatic,fwd,convertible,south
55,7316788533,26990,2017-01-01,nissan,titan single cab sv,good,8,gas,41335.0,clean,other,4wd,pickup,south
56,7316544266,32000,2008-01-01,chevrolet,silverado 2500,good,8,diesel,109600.0,clean,automatic,4wd,truck,south
57,7316482063,4000,2002-01-01,toyota,echo,excellent,4,gas,155000.0,clean,automatic,fwd,sedan,south
58,7316471857,3000,2004-01-01,chevrolet,blazer,good,6,gas,131500.0,clean,automatic,4wd,SUV,south
59,7316419757,12500,2008-01-01,gmc,yukon xl,excellent,8,gas,177326.0,clean,automatic,rwd,SUV,south
60,7316368518,27990,2012-01-01,gmc,sierra 2500 hd extended cab,good,8,gas,68696.0,clean,other,4wd,pickup,south
61,7316337545,10990,2011-01-01,mercedes-benz,ml350,excellent,6,gas,119172.0,clean,automatic,4wd,SUV,south
62,7316282669,8100,2011-01-01,ford,escape,excellent,6,hybrid,140000.0,clean,automatic,fwd,SUV,south
63,7316160104,29990,2016-01-01,chevrolet,colorado extended cab,good,6,gas,17302.0,clean,other,4wd,pickup,south
64,7316160083,35590,2010-01-01,chevrolet,corvette convertible,good,8,gas,31879.0,clean,other,rwd,other,south
65,7316065114,6800,2004-01-01,mercedes-benz,clk320,good,6,gas,116700.0,clean,automatic,rwd,convertible,south
66,7316031977,45000,2017-01-01,chevrolet,silverado,excellent,8,gas,92000.0,clean,automatic,4wd,truck,south
67,7315946365,9000,2008-01-01,mazda,miata mx-5,excellent,4,gas,56700.0,clean,automatic,rwd,convertible,south
68,7315873690,31990,2017-01-01,jeep,wrangler sport s utility 2d,good,6,gas,891.0,clean,other,4wd,other,south
69,7315826388,32990,2017-01-01,jeep,wrangler unlimited sport,good,6,gas,30041.0,clean,other,4wd,other,south
70,7315472435,39590,2020-01-01,ford,mustang gt premium coupe 2d,good,8,gas,1419.0,clean,other,rwd,coupe,south
