,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,area
1136,7316889831,55000,2013-01-01,ford,f450 super duty,excellent,8,diesel,167000.0,clean,automatic,4wd,truck,west
1137,7316839443,16000,2018-01-01,nissan,rogue awd 4dr sv,excellent,4,gas,53111.0,rebuilt,automatic,4wd,SUV,west
1138,7316799606,29000,2010-01-01,ford,f-350,excellent,8,diesel,98000.0,clean,automatic,4wd,pickup,west
1139,7316791169,23000,2013-01-01,toyota,tacoma double cab sr5,excellent,6,gas,94252.0,rebuilt,automatic,4wd,pickup,west
1140,7316609695,13950,2007-01-01,chevrolet,silverado 1500,excellent,8,gas,193121.0,clean,automatic,4wd,truck,west
1141,7316600112,11950,2001-01-01,gmc,sierra 2500hd,excellent,8,gas,128168.0,clean,automatic,4wd,truck,west
1142,7316587771,13400,2012-01-01,honda,odyssey,excellent,6,gas,76888.0,clean,automatic,fwd,van,west
1143,7316586926,1,2010-01-01,chevrolet,traverse lt awd,excellent,6,gas,120000.0,parts only,automatic,4wd,SUV,west
1144,7316586583,5500,2008-01-01,jeep,liberty sport 4x4,excellent,6,gas,190000.0,clean,automatic,4wd,SUV,west
1145,7316576470,14950,2011-01-01,ford,ranger,excellent,6,gas,55963.0,rebuilt,manual,4wd,truck,west
1146,7316575696,7950,2002-01-01,chevrolet,avalanche,excellent,8,gas,169233.0,clean,automatic,4wd,truck,west
1147,7316575477,9950,2011-01-01,chevrolet,traverse,excellent,6,gas,141988.0,clean,automatic,4wd,SUV,west
1148,7316575383,18950,2015-01-01,dodge,charger,excellent,6,gas,87883.0,clean,automatic,4wd,sedan,west
1149,7316575300,11950,2014-01-01,subaru,outback,excellent,4,gas,123723.0,rebuilt,automatic,4wd,wagon,west
1150,7316559458,16500,2018-01-01,chrysler,300,excellent,6,gas,38566.0,rebuilt,automatic,4wd,sedan,west
1151,7316559277,37500,2017-01-01,ram,2500,excellent,8,gas,41133.0,clean,automatic,4wd,pickup,west
1152,7316556108,11950,2012-01-01,toyota,camry,excellent,4,gas,82282.0,clean,automatic,fwd,sedan,west
1153,7316555942,13950,2011-01-01,toyota,rav4,excellent,4,gas,48967.0,clean,automatic,4wd,SUV,west
1154,7316555831,7950,2008-01-01,infiniti,fx35,excellent,6,gas,165717.0,clean,automatic,4wd,SUV,west
1155,7316555758,19950,2017-01-01,toyota,prius,excellent,4,gas,49775.0,clean,automatic,fwd,hatchback,west
1156,7316555616,12950,2015-01-01,dodge,journey,excellent,6,gas,97475.0,clean,automatic,4wd,SUV,west
1157,7316555429,17950,2014-01-01,ford,mustang,like new,6,gas,25865.0,clean,automatic,rwd,convertible,west
1158,7316555350,8950,2011-01-01,chevrolet,equinox,excellent,4,gas,116879.0,clean,automatic,fwd,SUV,west
1159,7316550891,11800,2006-01-01,toyota,rav4,excellent,4,gas,92123.0,clean,automatic,4wd,SUV,west
